name,hp,attack,block,contact,defense,speed
フシギダネ,45,49,49,65,65,45
フシギソウ,60,62,63,80,80,60
フシギバナ,80,82,83,100,100,80
メガフシギバナ,80,100,123,122,120,80
ヒトカゲ,39,52,43,60,50,65
リザード,58,64,58,80,65,80
リザードン,78,84,78,109,85,100
メガリザードンX,78,130,111,130,85,100
メガリザードンY,78,104,78,159,115,100
ゼニガメ,44,48,65,50,64,43
カメール,59,63,80,65,80,58
カメックス,79,83,100,85,105,78
メガカメックス,79,103,120,135,115,78
キャタピー,45,30,35,20,20,45
トランセル,50,20,55,25,25,30
バタフリー,60,45,50,90,80,70
ビードル,40,35,30,20,20,50
コクーン,45,25,50,25,25,35
スピアー,65,90,40,45,80,75
メガスピアー,65,150,40,15,80,145
ポッポ,40,45,40,35,35,56
ピジョン,63,60,55,50,50,71
ピジョット,83,80,75,70,70,101
メガピジョット,83,80,80,135,80,121
コラッタ,30,56,35,25,35,72
ラッタ,55,81,60,50,70,97
オニスズメ,40,60,30,31,31,70
オニドリル,65,90,65,61,61,100
アーボ,35,60,44,40,54,55
アーボック,60,85,69,65,79,80
ピカチュウ,35,55,40,50,50,90
ライチュウ,60,90,55,90,80,110
サンド,50,75,85,20,30,40
サンドパン,75,100,110,45,55,65
ニドラン♀,55,47,52,40,40,41
ニドリーナ,70,62,67,55,55,56
ニドクイン,90,92,87,75,85,76
ニドラン♂,46,57,40,40,40,50
ニドリーノ,61,72,57,55,55,65
ニドキング,81,102,77,85,75,85
ピッピ,70,45,48,60,65,35
ピクシー,95,70,73,95,90,60
ロコン,38,41,40,50,65,65
キュウコン,73,76,75,81,100,100
プリン,115,45,20,45,25,20
プクリン,140,70,45,85,50,45
ズバット,40,45,35,30,40,55
ゴルバット,75,80,70,65,75,90
ナゾノクサ,45,50,55,75,65,30
クサイハナ,60,65,70,85,75,40
ラフレシア,75,80,85,110,90,50
パラス,35,70,55,45,55,25
パラセクト,60,95,80,60,80,30
コンパン,60,55,50,40,55,45
モルフォン,70,65,60,90,75,90
ディグダ,10,55,25,35,45,95
ダグトリオ,35,80,50,50,70,120
ニャース,40,45,35,40,40,90
ペルシアン,65,70,60,65,65,115
コダック,50,52,48,65,50,55
ゴルダック,80,82,78,95,80,85
マンキー,40,80,35,35,45,70
